ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text
846210447544008705,Laurarode2,777,1,,0,679,1,RT @Kaladious: Wiretaps may prove Trump right — and that's absolutely terrifying https://t.co/LxuJICLyXn via @nypost
20144094,wbotting,508,212,,0,2250,11,"RT @JuddLegum: Mike Pence, apparently, can't even remember Paul Manafort's name. Referred to him as ""somebody"" on Fox &amp; Friends https://t.c…"
62666453,danspena,10780,0,,1,1494,385,I RECALL WHEN I STIRRED U 2 HEALTHCARE IN MID 80s-U HAV CONTINUED 2 MAKE ME PROUD-I TELL ALL U WILL B NXT PRESIDENT… https://t.co/2NUbNhpJqa
21165955,SunnyGirlLori,14273,0,,0,10081,262,Trump Likened to ‘a Dog Barking’ by North Korea’s Top Envoy https://t.co/C0nBSvz8d4
78094182,annvandersteel,18211,21,,0,4960,93,"RT @mitchellvii: Why is Trump backing Strange?
Maybe Trump needs GOPe for #TaxReform more than Moore needs Trump? Moore still wins and Trum…"
4365927557,Astro_journey,2127,2213,,0,4760,114,"RT @kurteichenwald: Now: Ur guaranteed u can buy milk for $2
GOP: U might get 2 buy milk - for $150,000
Trump: Everyone's guaranteed milk b…"
899305093119565824,TrumpJesus5,424,1507,,0,591,1,RT @RVAwonk: NEW: Russians Appear to Use Facebook to Push Trump Rallies in 17 U.S. Cities https://t.co/HkHjxLaP7u
2790473299,Bvby_Boyy,1955,13698,,0,1514,21,"RT @davidmackau: Trump, at a lunch with African leaders, refers to the non-existent country of ""Nambia."" https://t.co/N8megnC1Xi"
26901612,teppy713,230,238,,0,1286,7,RT @peterdaou: He tries to fly under the radar but just a reminder that #MikePence fully supports Trump's views. https://t.co/OPQyAUd75g
873531413684920320,MattJ5000,130,3,,0,114,0,RT @TruthFeedNews: OUCH! Rosie O’Donnell’s Daughter Humiliates Her Publicly https://t.co/ybEWvfrQYd via @truthfeednews #maga #trumptrain #t…
49034507,real_defender,14328,0,,0,2182,109,Samantha Power is responsible for the unmasking requests of over 260 citizens and Trump team members in 2016. Call her and Obama to testify!
820228413852098560,ChangeLifeCycle,611,3,,0,5002,23,RT @bcburden: Wisdom of the crowd: The public gave Trump a better chance of winning than it gave Romney in 2012 or McCain in 2008. https://…
2148516500,governn1,1239,0,,0,1455,43,"Donald Trump's lawyer Paul Manafort joined Twitter in 2016 and has since tweeted about Russia, Clinton and other…"
19205786,loreleidesigns,622,995,,0,707,5,"RT @CNN: ""Its possible"" President Trump's voice was picked up in a wiretap of Paul Manafort, says former spy chief Clapper https://t.co/2EL…"
825739263258009601,trumpresigned,46,0,,0,47,4,Trump have not resind resigned from presedent of the USA. We wait for 243 days and 23 hour. #MarchForScience
14816721,repsac3,920,901,,0,3523,46,RT @Impeach_D_Trump: @BreakingDTrump @realDonaldTrump And when people want to bring this to your attention you simply block them on Twitter…
8418182,marywieseman,80,39,,0,133,2,"RT @paulapoundstone: Did Melania Trump really tell the U.N. to live by the Golden Rule? If we did unto her as she has done unto us, she'd b…"
770702258,SoccerNCW23,234,25,,0,783,11,"RT @RepTimRyan: About as accurate a statement as a positive review of ""Trump Steaks."" https://t.co/WerogO06Xg"
832810748682199040,conpropaganda,218,0,,0,460,0,Trump: State of California is 'an enemy of the people' - https://t.co/2nlfr8azYl
1109362010,searchforbetter,134,1010,,0,1708,3,"RT @RWPUSA: Trump ethics: an emolumental mess.

Steve Mnuchin jet request only the start of White House ethics issues https://t.co/eQvXWlJK…"
2833753743,eleaks_reina,168,0,,0,739,18,"OnPolitics Today: GOP lawmakers go silent on funding Trump'... Re:Sassen-Territory, Authority, Rights https://t.co/9cClCp9y6l"
365964884,JairoJGR,183,2,,0,677,11,"RT @AlexMitchell5: Donald Trump talks war at UN General Assembly peace summit.See here:
https://t.co/JBiCWd5u8K"
176480127,DISONANCE_,792,301,,0,730,16,"RT @HackneyAbbott: KMT 😒 ""Trump congratulates African leaders for making his friends rich"" https://t.co/vMGt1jOHLw"
825765764909121537,sterlingC69,991,56,,0,1601,2,"RT @BigAlDell: @TrueFactsStated Hubris will be their downfall. Trump, Pence, Ryan, Don Jr., Ivanka &amp; on &amp; on. They can think what they want…"
1428794820,wolverines_dad,3611,299,,0,4712,108,"RT @RealJamesWoods: ""The kind of crisis we now face with North Korea"" is the result of another ""diplomacy"" disaster like this one. #Iran ht…"
